,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
78,Corner Crack,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107160192/corner-crack,2.0,-1,Boulder,V1,1,,43.4,-89.74329,34,948,7,"Jun3,2011"
79,face left of west face lake boulder,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106273022/face-left-of-west-face-lake-boulder,3.3,-1,Boulder,V3,1,,43.40436,-89.72961,8,2060,12,"Oct9,2008"
80,Struggle Bus,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118985532/struggle-bus,3.3,-1,Boulder,V2,1,,43.40436,-89.72961,7,647,19,"Jun4,2020"
81,"I Don't Know, B",2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107485942/i-dont-know-b,2.3,-1,Boulder,V0,1,15.0,43.42737,-89.72684,26,932,7,"Feb23,2012"
82,Welcome Crack,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274024/welcome-crack,2.9,-1,Boulder,V0+,1,,43.40436,-89.72961,14,1017,6,"Oct10,2008"
83,Shorty,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486302/shorty,2.2,-1,Boulder,V2,1,6.0,43.4,-89.74329,28,1346,8,"Jul12,2009"
84,Geometridae Style,Cave Rock Boulders > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120057820/geometridae-style,3.5,-1,Boulder,V2 PG13,1,18.0,43.42156,-89.73737,2,348,12,"Dec11,2020"
85,Bride of the Fox,"Happy Go Highball > 6.  Happy Go Highball / Hidden Treasure > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/115180620/bride-of-the-fox,3.5,-1,Boulder,V2 X,1,30.0,43.42472,-89.73706999999999,2,696,12,"Sep8,2018"
86,Stankonia,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106487934/stankonia,3.5,-1,Boulder,V2+,1,20.0,43.4263,-89.71799999999999,2,727,4,"Jul13,2009"
87,Welcome route,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274055/welcome-route,2.2,-1,Boulder,V0+,1,,43.40436,-89.72961,29,890,5,"Oct10,2008"
88,Show Me Mercy,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106491012/show-me-mercy,2.3,-1,Boulder,V1+,1,15.0,43.42699,-89.72633,24,1599,10,"Jul16,2009"
89,Yankee Buzzard,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114300249/yankee-buzzard,3.1,-1,Boulder,V0,1,,43.41357,-89.70137,8,735,12,"Apr25,2018"
90,Empty Space,Loompa Land > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107320384/empty-space,3.1,-1,Boulder,V2,1,12.0,43.41962,-89.73644,8,1567,11,"Oct8,2011"
91,Confidence Booster,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107485962/confidence-booster,1.8,-1,Boulder,V-easy,1,15.0,43.42737,-89.72684,33,1025,8,"Feb23,2012"
92,I See the Bucket,3. West Post > 09. East of the East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112270173/i-see-the-bucket,3.3,-1,Boulder,V3,1,20.0,43.41288,-89.70783,3,1029,13,"Oct28,2016"
